time,symbol,event,price,fee
2021-03-31 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,1919.37,2.5566814761971922e-05
2021-04-01 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,334.7991,1.8783103102580133e-05
2021-04-02 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,2133.69,2.851495392812883e-05
2021-04-03 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,22.5,1.980807514346502e-05
2021-04-04 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,23.7755,2.275621430962193e-05
2021-04-05 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,368.0263,2.173124226873704e-05
2021-04-08 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,26.9384,5.140870695155768e-05
2021-04-08 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,418.7048,4.9358762869787907e-05
2021-04-12 00:00:00+00:00,SOLUSDT,ENTRY,27.8598,7.059028825361122e-05
2021-04-12 00:00:00+00:00,BNBUSDT,ENTRY,525.9275,8.902163412849892e-05
2021-04-12 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,596.7104,2.530358924593387e-05
2021-04-13 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,63575.0,2.531774563112998e-05
2021-04-14 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,2432.6,6.292618618857149e-05
2021-04-14 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,550.0182,6.676622559637419e-05
2021-04-18 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,56150.01,6.710881939491921e-05
2021-04-18 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,32.3358,5.839756539837465e-05
2021-04-19 00:00:00+00:00,BTCUSDT,ENTRY,56150.01,0.00011872898688033855
2021-04-19 00:00:00+00:00,ETHUSDT,ENTRY,2235.65,8.92118266217592e-05
2021-04-19 00:00:00+00:00,SOLUSDT,ENTRY,32.3324,6.194487249867941e-05
2021-04-19 00:00:00+00:00,BNBUSDT,ENTRY,481.5112,5.5464459784872355e-05
2021-04-20 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,586.3635,1.6903473073876033e-05
2021-04-22 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,2397.94,2.5340314783097742e-05
2021-04-22 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,38.9,1.85235762523278e-05
2021-04-22 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,505.2411,4.1598344838654265e-05
2021-04-23 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,51125.14,0.0001065795543697068
2021-04-23 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,2367.39,6.690886996631939e-05
2021-04-23 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,37.3893,4.645865437400956e-05
2021-04-26 00:00:00+00:00,BTCUSDT,ENTRY,49066.76,8.833248504192485e-05
2021-04-26 00:00:00+00:00,ETHUSDT,ENTRY,2320.44,7.153454238481569e-05
2021-04-26 00:00:00+00:00,SOLUSDT,ENTRY,47.395,5.7880558111776915e-05
2021-04-26 00:00:00+00:00,BNBUSDT,ENTRY,505.0,4.58509993135127e-05
2021-04-28 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,54846.22,2.5115063533145968e-05
2021-04-28 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,2748.24,2.0915577868868685e-05
2021-05-01 00:00:00+00:00,BNBUSDT,INTRADAY_BARRIER,620.0,1.4494692101042935e-05
2021-05-03 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,3431.04,2.394752014153344e-05
2021-05-04 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,3239.01,5.39589248283964e-05
2021-05-10 00:00:00+00:00,ETHUSDT,ENTRY,3923.95,9.269170042796903e-05
2021-05-12 00:00:00+00:00,BTCUSDT,INTRADAY_BARRIER,49631.32,6.624936378144363e-05
2021-05-13 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,41.049,4.5752789021117876e-05
2021-05-16 00:00:00+00:00,ETHUSDT,INTRADAY_BARRIER,3582.1,8.030461019686992e-05
2021-05-17 00:00:00+00:00,BNBUSDT,EARLY_RISK_OFF,564.66,3.845082961242784e-05
2021-08-16 00:00:00+00:00,ETHUSDT,ENTRY,3307.35,9.703710494854322e-05
2021-08-16 00:00:00+00:00,SOLUSDT,ENTRY,53.515,8.631458500440077e-05
2021-08-16 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,62.016,5.22960497945401e-05
2021-08-17 00:00:00+00:00,SOLUSDT,INTRADAY_BARRIER,64.123,4.924979736376019e-05
2021-08-23 00:00:00+00:00,BTCUSDT,ENTRY,49239.22,0.00012151113172589209
2021-08-23 00:00:00+00:00,SOLUSDT,ENTRY,72.751,6.436654379110454e-05
